frame_no,track_id,cx,cy
2,14,192,160
3,14,192,160
4,14,194,158
4,25,53,157
5,14,194,156
5,25,52,157
5,27,80,185
6,14,195,153
6,25,51,157
6,27,80,184
6,39,50,208
6,40,39,236
7,14,196,152
7,27,79,182
7,39,57,207
7,40,45,234
8,14,196,150
8,39,59,207
8,40,46,232
9,39,61,206
9,40,47,231
9,55,201,210
9,56,79,153
10,55,197,212
10,56,78,146
10,60,221,242
11,55,193,212
11,56,76,145
11,60,219,244
11,64,53,165
12,55,192,217
12,56,76,146
12,60,216,245
12,64,58,158
13,55,193,218
13,56,77,145
13,60,215,246
13,64,60,155
14,55,195,218
14,56,79,144
14,64,60,150
15,55,195,216
15,56,81,142
15,64,62,143
16,55,196,213
16,56,81,138
16,64,64,138
17,55,196,213
17,56,82,136
17,64,65,133
18,55,196,213
18,56,83,134
24,102,134,124
25,102,134,120
25,103,219,165
26,102,132,115
26,103,220,162
27,103,220,159
27,111,72,124
28,111,72,125
29,111,72,125
29,117,180,109
29,118,70,210
30,117,180,111
30,118,70,207
31,117,180,113
31,118,73,203
31,121,130,190
32,118,80,194
32,121,131,189
33,118,82,190
33,121,132,188
34,118,85,186
34,131,151,186
34,132,175,169
35,131,151,186
35,132,182,170
36,131,151,186
36,132,190,168
37,132,203,169
37,139,183,195
37,141,164,170
38,132,221,170
38,139,183,192
38,141,168,168
39,132,235,165
39,139,183,191
39,141,173,166
40,132,243,165
40,141,176,165
40,152,198,170
41,132,252,165
41,141,180,163
41,152,198,164
42,152,198,157
